,id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_end,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
239,8M0tAAyPMfsvHNWWUQ237Q,REGULAR,1000.0,200.0,True,1000.0,200.0,True,1000.0,200.0,True,1000.0,200.0,True,1000.0,200.0,True,1000.0,200.0,True,1000.0,200.0,True
240,pwejc1NUK6cQz7aK_4XYEQ,REGULAR,1700.0,0.0,False,1700.0,0.0,False,1700.0,0.0,False,1700.0,0.0,False,1700.0,200.0,True,1700.0,200.0,True,1700.0,2200.0,False
241,r7-YSA7Z8p4KISZ-jEww5A,REGULAR,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2100.0,False
242,wFSkfP9aE_F99p-K00JA4w,REGULAR,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1100.0,2200.0,False,1100.0,2200.0,False
243,K676uk86gZfTBbXw9TvbMw,REGULAR,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1200.0,2000.0,False
244,uUMnZINNYCvgdX7jla4PLA,REGULAR,1130.0,2300.0,False,1130.0,2300.0,False,1130.0,2300.0,False,1130.0,2300.0,False,1130.0,0.0,False,1130.0,0.0,False,1130.0,2300.0,False
245,Qfh5uqZMzS5XB-7GXsgUhw,REGULAR,,,,,,,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,0.0,False,1100.0,0.0,False,1100.0,2100.0,False
246,nBG0C0J7bnBnUMB39F5O-A,REGULAR,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2300.0,False,1100.0,2300.0,False,1000.0,2200.0,False
247,D37JiBDWxz130VOHIjQhxA,REGULAR,,,,,,,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,,,
248,arnbjQR2n0-6-iqdBB_gHw,REGULAR,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1000.0,200.0,True,1000.0,200.0,True
251,X0mY5Pf7Fj_kfWmwDEqwdQ,REGULAR,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True
252,vRlGCME1KCFPQc_hW2AVlA,REGULAR,,,,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2200.0,False,,,
256,DIRXMPneSiHoOani8QnI3A,REGULAR,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1400.0,200.0,True,1600.0,200.0,True
258,D0XChUzTgYwOzU33n4W59g,REGULAR,1200.0,2000.0,False,,,,1200.0,2000.0,False,1200.0,2000.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2000.0,False
259,Zm29bLI2eYCevnse4n2U1g,REGULAR,900.0,2300.0,False,900.0,2300.0,False,900.0,2300.0,False,900.0,2300.0,False,900.0,2300.0,False,800.0,2300.0,False,800.0,2300.0,False
261,um4x6dIkv8w2a4e0VkRNmA,REGULAR,,,,1530.0,2300.0,False,1530.0,2300.0,False,1530.0,2300.0,False,1530.0,100.0,True,1530.0,100.0,True,1230.0,2300.0,False
262,W0Lmpe7yIVercq9ouNzrxA,REGULAR,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False
264,IeJ6oKr3MW5bSlwmlkknwg,REGULAR,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,200.0,True,1600.0,200.0,True,1100.0,200.0,True,1100.0,0.0,False
265,7ldhMPx4MBqQu_1Yj61T-w,REGULAR,1500.0,100.0,True,1500.0,100.0,True,1500.0,100.0,True,1500.0,100.0,True,1500.0,100.0,True,1500.0,100.0,True,1500.0,100.0,True
266,VxoRKAebGksNn5ewTGGxQQ,REGULAR,700.0,0.0,False,700.0,0.0,False,700.0,0.0,False,700.0,0.0,False,700.0,0.0,False,700.0,0.0,False,700.0,0.0,False
267,nfZLdMmcqPbmSooutrc9yQ,REGULAR,1100.0,1700.0,False,,,,1100.0,1700.0,False,1100.0,2100.0,False,1100.0,1700.0,False,1100.0,1700.0,False,1100.0,1700.0,False
269,aehgQxttnq8h6LEKsu9T7g,REGULAR,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True
270,I2DIg6ZRkA1PNCf5zWeAFw,REGULAR,630.0,2200.0,False,630.0,2200.0,False,630.0,2200.0,False,630.0,2200.0,False,630.0,2200.0,False,700.0,2200.0,False,700.0,2200.0,False
271,THeSIOFvgOMoq7_iXQxFCw,REGULAR,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2100.0,False
272,XCPxbHLo0kmWSQv3ZqJvBg,REGULAR,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True
275,UAtX7xmIfdd1W2Pebf6NWg,REGULAR,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1200.0,100.0,True
277,mI7qw74vuPgf4LJWH3M2oA,REGULAR,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1700.0,200.0,True,1700.0,200.0,True
278,LSmYTw4HvU0lDBK4Mg2KyQ,REGULAR,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True
279,vxkOVmhReRa4XYfAT1hMxA,REGULAR,1200.0,2230.0,False,1200.0,2230.0,False,1200.0,2230.0,False,1200.0,2230.0,False,1200.0,2330.0,False,1100.0,2330.0,False,1100.0,2230.0,False
281,VjU5s6LPOksItZRUDT-g0Q,REGULAR,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True
282,25sny_QPRSFNxCPqu1oRqw,REGULAR,1100.0,0.0,False,1100.0,0.0,False,1130.0,2100.0,False,1100.0,0.0,False,1100.0,1400.0,False,1030.0,1400.0,False,1000.0,0.0,False
283,l6Ye6vPB6ZPZbxVxMMgvPQ,REGULAR,,,,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,100.0,True,1100.0,100.0,True,1200.0,2300.0,False
284,CJ0DuAPIract7wPMWgsXbg,REGULAR,1200.0,100.0,True,1200.0,100.0,True,1200.0,100.0,True,1200.0,100.0,True,1200.0,100.0,True,1200.0,100.0,True,1200.0,100.0,True
285,M0fRUDEo9mbnZFXhvshlFw,REGULAR,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,100.0,True,1600.0,100.0,True,1100.0,100.0,True,1100.0,2200.0,False
286,kZtRAdoLiIXSrNOee9FvXA,REGULAR,,,,,,,800.0,1600.0,False,800.0,1600.0,False,800.0,1600.0,False,800.0,1600.0,False,800.0,1500.0,False
287,uMZoY7AyG08rnN-YiQN7fA,REGULAR,,,,1500.0,0.0,False,1500.0,0.0,False,1200.0,0.0,False,1200.0,200.0,True,1200.0,200.0,True,,,
288,IhjP8q2cHol4ziuiDFdK2Q,REGULAR,1600.0,2130.0,False,1600.0,2130.0,False,1600.0,2130.0,False,1600.0,2130.0,False,1600.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False
291,4lMpwHFzxmirHqLSsj8BjQ,REGULAR,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,0.0,False,1030.0,0.0,False,1030.0,2300.0,False
293,KZvguSQqWh9Jl_LGgKTTAg,REGULAR,,,,,,,1100.0,2300.0,False,1100.0,2330.0,False,1100.0,2330.0,False,1000.0,2330.0,False,1000.0,2300.0,False
294,yXVgVKV-Ek_tE9EZXMVTEQ,REGULAR,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True
295,nvlxtOwbGqPW8E6_sYTfvw,REGULAR,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2200.0,False
297,KcHqZ_IQMHhrL0y9PakxJA,REGULAR,1400.0,100.0,True,1400.0,100.0,True,1400.0,100.0,True,1400.0,200.0,True,1400.0,200.0,True,1400.0,200.0,True,1400.0,100.0,True
300,ru2PbckR1YiXNggUVL_kEw,REGULAR,,,,1130.0,0.0,False,1130.0,0.0,False,1130.0,0.0,False,1130.0,100.0,True,1600.0,100.0,True,,,
