id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_start,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
u21_m6mewRV6pTMn9DCosA,REGULAR,1130,2300,False,1130,2300,False,1130,0000,False,1130,0000,False,1100,0100,True,1100,0100,True,1100,2300,False
WYnXpXym2DMtwchDcbilmg,REGULAR,0800,1500,False,0800,1500,False,0800,1500,False,0800,1500,False,0800,1500,False,0800,1500,False,,,
j4GcfVzq1BCXGoPtNGOtgg,REGULAR,1200,2100,False,1200,2100,False,1200,2100,False,1200,2100,False,1200,2200,False,1100,2200,False,1100,2100,False
ZrSNKHiKK_PBB6UHx22FaA,REGULAR,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True
EYMC8NHn6U-4WpLo54dQtw,REGULAR,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True
uCJqYrBSITSrJBHyMPznwg,REGULAR,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True
ysxXehAKCjN137hnfpn6yA,REGULAR,1600,2300,False,1600,2300,False,1600,2300,False,1600,2300,False,1600,0200,True,1100,0200,True,1100,2300,False
n4XrNsqY2Oi1DB7-2hJzTw,REGULAR,1100,2330,False,1100,2330,False,1100,2330,False,1100,2330,False,1100,0030,True,1100,0030,True,1100,2330,False
GW-qF7xopcwSeQah6Yvtnw,REGULAR,1030,0200,True,1030,0200,True,1030,0200,True,1030,0200,True,1030,0200,True,1100,0200,True,1200,0200,True
QULve82crMjaNkgfqfjl2Q,REGULAR,,,,1700,0000,False,1700,0000,False,1700,0000,False,1600,0200,True,1600,0200,True,1000,2200,False
JwJa6nY_wlZEjagVleWQ-Q,REGULAR,1100,2100,False,1100,2100,False,1100,2100,False,1100,2100,False,1100,2200,False,1100,2200,False,1100,2100,False
WESPiF4WcuAYb_r6N4SqgQ,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,2200,False
Go8U9oJd4CfpO1ik4Z8iKA,REGULAR,1700,0200,True,1700,0200,True,1700,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1400,2200,False
FioFvBhgVPV2dZW3mxjxQQ,REGULAR,1130,0100,True,1130,0100,True,1130,0100,True,1130,0100,True,1130,0100,True,1030,0100,True,1030,0100,True
ck8Id2EaJ20Alj0N8UMvBQ,REGULAR,1600,2300,False,1600,2300,False,1600,2300,False,1600,0000,False,1400,0000,False,1100,0000,False,1100,2300,False
KeC3GrFHGRl-vRT8LIuB3g,REGULAR,,,,,,,,,,1600,2200,False,1600,2200,False,1200,2200,False,1200,1800,False
lsqYQYGfpe25wUZk9Wybwg,REGULAR,1630,2100,False,1630,2100,False,1630,2100,False,1630,2100,False,1630,2200,False,1630,2200,False,1200,2100,False
QFEEm3joTWU5ZF4suCuRPQ,REGULAR,1130,2300,False,1130,2300,False,1130,2300,False,1130,2300,False,1130,0000,False,1000,0000,False,1000,0000,False
sqr1T-KLQ7ED49SlAEx49w,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True
wxe0Hxxhv4FQtI8EvrgReA,REGULAR,1130,0100,True,1130,0100,True,1130,0100,True,1130,0100,True,1130,0100,True,0900,0100,True,0900,0100,True
zZ7roMv_c8R4slTMPPdkng,REGULAR,,,,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True
7LYzR3mMr0GLEItUxyWY7Q,REGULAR,,,,,,,1630,0000,False,1630,0000,False,1630,0000,False,1630,0000,False,1630,0000,False
kOqVXdqRzWIEK7XiQWxmJQ,REGULAR,1200,0000,False,,,,1200,0000,False,1200,0000,False,1200,0000,False,1200,0000,False,1200,0000,False
pgb_V3Wk56X5HK1NfLFgcw,REGULAR,1130,2300,False,1130,2300,False,1130,2300,False,1130,0100,True,1130,0100,True,1100,0100,True,1100,2200,False
ZAV8c9iGKV8zWHxOpTxdYQ,REGULAR,1130,2130,False,1130,2130,False,1130,2130,False,1130,2130,False,1130,2230,False,1130,2230,False,1130,2130,False
ElOE7WzFMX8aMS_hkqtX_w,REGULAR,1700,0000,False,1700,0000,False,1700,0000,False,1700,0000,False,1700,0000,False,1000,0000,False,1000,0000,False
bMcozrCMkppinCDu0C5ueA,REGULAR,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1700,2200,False
iiDu_dHw-uB6kR_hVthKEw,REGULAR,0630,2300,False,0630,2300,False,0630,2300,False,0630,2300,False,0630,0000,False,0700,0000,False,0700,2300,False
cwUUnKCZs8Zild6n2uwiSA,REGULAR,1600,0000,False,1600,0000,False,1600,0000,False,1600,0000,False,1100,0100,True,1100,0100,True,1100,0000,False
25DUwcQq4ywNMivBjig2Rg,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True
sYwiUHojCnVM7dZAhFWrmw,REGULAR,0700,1400,False,0700,1400,False,0700,1400,False,0700,1400,False,0700,1400,False,0800,1500,False,0800,1500,False
7kCMcEEKXqItFv5m0-Yj4g,REGULAR,1100,2230,False,1100,2230,False,1100,2230,False,1100,2230,False,1100,2230,False,1100,2230,False,1100,2230,False
8bLMFB8Cev2Le7YEFUfnrg,REGULAR,,,,,,,,,,1700,2300,False,1700,2300,False,1300,2300,False,1300,1800,False
_9ZZv5V-uM5BXx3P-HslIw,REGULAR,1100,2300,False,1100,2300,False,1100,2300,False,1100,0000,False,1100,0100,True,1000,0100,True,1000,2300,False
91aDQQV8_OdFC6WIHq4gng,REGULAR,1100,2230,False,1100,2230,False,1100,2230,False,1100,2230,False,1100,2330,False,1100,2330,False,1100,2230,False
XgJWwSXomuSblxFBE-AxpA,REGULAR,1100,2200,False,1100,2200,False,1100,2200,False,1100,2300,False,1100,2300,False,1000,2300,False,1000,2200,False
q57nAhieOJtH1wsXhci0Nw,REGULAR,,,,1700,2100,False,1700,2100,False,1700,2100,False,1700,0200,True,1700,0200,True,,,
K-b5yxnXAc4cD_4YYHJ-vg,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True
DrfWREMxP-0JCt5Pz8_sUQ,REGULAR,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,2200,False,1130,2200,False,1130,2100,False
H0lnJ44GvEkHoSV4WsQwtw,REGULAR,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,,,
0s8iv660dB30pHK4W1r6KA,REGULAR,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1200,2330,False
f4zeVunnSBiO_yGhXgcahA,REGULAR,1200,0200,True,1200,0200,True,1200,0200,True,1200,0200,True,1200,0200,True,1100,0200,True,1100,0200,True
6sM4hFHheaRNwsd74wplEw,REGULAR,1100,0130,True,1100,0130,True,1100,0130,True,1100,0130,True,1100,0130,True,1000,0130,True,1000,0130,True
IjshhPQwClaUK1v7z_7CpQ,REGULAR,1130,0000,False,1130,0000,False,1130,0000,False,1130,0100,True,1130,0100,True,1130,0100,True,1030,0000,False
jGennaZUr2MsJyRhijNBfA,REGULAR,0600,1900,False,0600,1900,False,0600,1900,False,0600,1900,False,0600,1900,False,0600,1900,False,0600,1900,False
LCFZDAaLRpmaidikraTWiw,REGULAR,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False
Rr7rhulFCpGvO341g-EWVg,REGULAR,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,2200,False,1130,2200,False,1130,2100,False
R7peDyHzKTGilwo_1fjt3g,REGULAR,1600,2100,False,1600,2100,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2100,False
VORWx6jgDlWDMv1eXks7PQ,REGULAR,,,,1500,2300,False,1500,2300,False,1500,0000,False,1500,0000,False,1200,0000,False,,,
RJfovzPhmdt-pYHnFboM8w,REGULAR,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True
cqQfX8bDkR-7Ijh8JMtqJg,REGULAR,1600,2300,False,1600,2300,False,1600,2300,False,1600,2300,False,1600,0000,False,1200,0000,False,1200,1800,False
biYgFkftCPue7g3upflUOg,REGULAR,,,,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,,,
n6iTeADfaVagZjsoZZ631A,REGULAR,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True
eTTnOUoAhbv65vcApwhTgQ,REGULAR,1130,0000,False,1130,0000,False,1130,0000,False,1130,0200,True,1130,0200,True,1000,0200,True,1000,0000,False
Uh-vmfKAZAhSeauShT0UEQ,REGULAR,,,,1800,2230,False,1800,2230,False,1800,2230,False,1800,2230,False,1800,2230,False,,,
tCPxYdZVbsDooH3DQsNLqQ,REGULAR,1200,2300,False,1200,2300,False,1200,2300,False,1200,0200,True,1200,0200,True,1200,0200,True,1200,2200,False
c0d6MwDQGkt4sBLVFQCaMw,REGULAR,,,,1600,2200,False,1600,2200,False,1600,2200,False,1600,2300,False,1600,2300,False,1600,2200,False
9XovFXshYZEqA-4v2mzh6g,REGULAR,0700,0100,True,0700,0100,True,0700,0100,True,0700,0100,True,0700,0100,True,1000,0100,True,1000,0100,True
tXiS82voSqoBACDxv1uDTw,REGULAR,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False
PBt_sana68L9ZjgQzeJ7zw,REGULAR,1130,2300,False,1130,2300,False,1130,2300,False,1130,2300,False,1130,2300,False,1130,2300,False,1200,2300,False
CWqL2TEq_V9tipCj-X-GoQ,REGULAR,,,,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1000,2200,False,1000,2100,False
4jkGZhbMPUg3Talazishtg,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2300,False,1600,2300,False,1600,2200,False
vQNe7TD_QDpGtGbkaAqi8Q,REGULAR,,,,1700,0100,True,1700,0100,True,1700,0100,True,1600,0100,True,1530,0100,True,1700,0100,True
FYgNCaNNS8-75rYdq7YvhQ,REGULAR,1130,2130,False,1130,2130,False,1130,2130,False,1130,2230,False,1130,2230,False,1200,2230,False,1200,2100,False
Y7B9tTmHPXgNwu5SRGtgtQ,REGULAR,1600,2300,False,1600,2300,False,1200,2300,False,1200,2300,False,1200,0000,False,1000,0000,False,1000,2300,False
W62OJx5O8xwno-Dn3EuqJw,REGULAR,1030,0200,True,1030,0200,True,1030,0200,True,1030,0200,True,1030,0200,True,1030,0200,True,1030,0200,True
_AdH5pwUVgCLHVlSiNvhbw,REGULAR,0600,2000,False,0600,2000,False,0600,2000,False,0600,2000,False,0600,2000,False,0600,2000,False,0600,2000,False
273RUO7c-9nYNqIIVdVkjw,REGULAR,1200,0100,True,1200,0100,True,1200,0100,True,1200,0100,True,1200,0100,True,1200,0100,True,1200,0100,True
